ICL7662CPA	from hqew, 正润电子	INTERSIL	10+	1219	DIP
IDT7201LA50JG	from hqew, 正润电子	IDT	10+	121	PLCC
IDTQS3861Q	from hqew, 正润电子	IDT	10+	1211	SOP
IL4218	from hqew, 正润电子	VISHAY	10+	1209	DIP
INA129U	from hqew, 正润电子	TI	10+	1213	SOP
INT5200AO	from hqew, 正润电子	INTELLON	10+	1223	BGA
IS62C1024AL-35QLI	from hqew, 正润电子	ISSI	0906+	88	SOP
ISPLSI1016E-80LJI	from hqew, 正润电子	LATTICE	10+	1230	PLCC
ISPLSI2064E100LT100	from hqew, 正润电子	LATTICE	0745+	896	QFP
L5970D	from hqew, 正润电子	ST	10+	216	SOP
L8576AP	from hqew, 正润电子	LUCENT	10+	1209	PLCC44
LD49300PT08R	from hqew, 正润电子	ST	11+	2000	TO-252
LM2575S-5.0	from hqew, 正润电子	NS	1139+	897	TO-263
LM307N	from hqew, 正润电子	NS	10+	1207	DIP
LM3S1138-IQC50-A2	from hqew, 正润电子	TI	12+	400	LQFP100
LMC6064IM	from hqew, 正润电子	NS	10+	612	SOP
LMC660CN	from hqew, 正润电子	TI	10+	1216	DIP
LMX2306TM	from hqew, 正润电子	NS	10+	1205	SOP
LP611024CS-12	from hqew, 正润电子	ELITEMT	10+	600	SOJ
LT1019IN8	from hqew, 正润电子	LT	10+	1215	DIP
LT1253CS	from hqew, 正润电子	LT	10+	426	SOP8
LT1373IS8	from hqew, 正润电子	LT	10+	414	SOP8
LTC1435CS	from hqew, 正润电子	LT	10+	520	SOP16
MC145191F	from hqew, 正润电子	MOTOROLA	10+	619	SOP
MC145453P	from hqew, 正润电子	MOTOROLA	10+	1208	DIP
MC33199D	from hqew, 正润电子	MOTOROLA	10+	4	SOP
MC33219ADW	from hqew, 正润电子	MOTOROLA	10+	424	SOP
MC68HC58FN	from hqew, 正润电子	MOTOROLA	10+	1209	PLCC
MIC2172BM	from hqew, 正润电子	MICROCHIP	10+	608	SOP
MK1491-06S	from hqew, 正润电子	ICS	10+	1211	SOP
