SN74HC00D	from hqew, 杭州百富电子技术	KIA	20110303	2412	SOIC-14
SN74HCT04D	from hqew, 杭州百富电子技术	TI	20110401	8640	SOIC-14
STM8S005K6T6C	from hqew, 杭州百富电子技术	ST	20121205	4216	LQFP-32
TMP75AID	from hqew, 杭州百富电子技术	TI	20100901	5502	SO-8
74HC4060D	from hqew, 杭州百富电子技术	PHILIPS	20100818	4497	SOIC-16
74HCT00D	from hqew, 杭州百富电子技术	NXP	20100903	12490	SOIC-14
ATT7021C	from hqew, 杭州百富电子技术	ActionsSemic	20100610	1200	SSOP-24
ATT7022B	from hqew, 杭州百富电子技术	ACTIONS	20100919	79	QFP-44
CAT24C04WI-GT3	from hqew, 杭州百富电子技术	CATALYST	20091229	2838	SOIC-8
DR360AUJZ-REEL7	from hqew, 杭州百富电子技术	ADI	20110330	2966	TSOT-5
FM24C64-P	from hqew, 杭州百富电子技术	ROMTRON	20100919	1681	DIP-8
FM24CL64	from hqew, 杭州百富电子技术	ROMTRON	20101210	1977	SOIC-8
GAL16V8D-15QP	from hqew, 杭州百富电子技术	LATTICE	20100406	891	DIP-20
L7805ABV	from hqew, 杭州百富电子技术	ST	20110831	1225	TO-220
LM25574MTX	from hqew, 杭州百富电子技术	NS	20111109	1585	TSSOP-16
LM2623AMM	from hqew, 杭州百富电子技术	NS	20101231	419	SO-8
MSP430FE427IPM	from hqew, 杭州百富电子技术	TI	20110217	55	QFP-64
M16C-M3062LFGPFP#U3C	from hqew, 杭州百富电子技术	RENESAS	20110715	21	TQFP-100
M30221FCFP	from hqew, 杭州百富电子技术	RENESAS	20110330	46	QFP-120
M34552M8-326FP	from hqew, 杭州百富电子技术	RENESAS	20120912	2168	QFP-48
S-1167A33-M5T1G	from hqew, 杭州百富电子技术	SEIKO	20110119	1549	SOT-23-5
S-1311B33-M5T1S	from hqew, 杭州百富电子技术	SEIKO	20110329	812	SOT-23-5
S-35390A-J8T1-G	from hqew, 杭州百富电子技术	SEIKO	20110819	755	SOP-8
STM32F101RBT6	from hqew, 杭州百富电子技术	ST	20110427	1370	LQFP-64
STM8S103K3T6	from hqew, 杭州百富电子技术	ST	20110416	1800	LQFP-32
uPD78F9234MC-5A4	from hqew, 杭州百富电子技术	NEC	20110308	1393	SSOP-30
